"game_rk";"quest_rk";"employee_rk";"game_dttm";"price";"game_flg";"finish_flg";"time"
682649;5741;28488;"2018-01-19 20:00:00";3000;1;1;49
682653;5749;28466;"2018-01-21 20:45:00";4000;1;1;49
682657;5766;28495;"2018-02-21 10:15:00";3200;1;0;
682661;5765;28493;"2018-02-18 22:15:00";5000;1;1;46
682665;5752;28474;"2018-02-20 04:30:00";4000;1;0;
682669;5761;28514;"2018-02-20 05:30:00";3200;1;1;31
682673;5756;28470;"2018-01-23 19:45:00";5000;1;1;50
682677;5764;28519;"2018-02-16 09:00:00";3200;1;0;
682681;5757;28505;"2018-02-25 09:30:00";2400;1;1;50
682685;5740;28500;"2018-02-18 14:30:00";3000;1;0;
682689;5758;28454;"2018-02-24 23:45:00";2400;0;;
682693;5765;28509;"2018-02-25 20:15:00";5000;1;1;37
682697;5741;28506;"2018-01-02 08:00:00";2400;0;;
682701;5770;28511;"2018-01-15 15:15:00";2400;0;;
682705;5759;28498;"2018-01-20 19:15:00";5000;1;1;49
682709;5770;28454;"2018-02-21 23:15:00";2400;1;1;39
682713;5769;28466;"2018-02-15 22:00:00";4000;1;1;50
682717;5773;28462;"2018-02-19 13:45:00";4000;1;1;43
682721;5764;28465;"2018-02-16 09:00:00";3200;1;1;50
682725;5773;28462;"2018-02-28 13:45:00";4000;1;1;39
682729;5772;28507;"2018-02-11 11:30:00";3200;1;1;40
682733;5748;28516;"2018-01-24 20:15:00";5000;0;;
682737;5740;28503;"2018-02-28 11:30:00";2400;1;1;50
682741;5749;28466;"2018-02-11 17:45:00";4000;1;1;46
682745;5748;28483;"2018-01-21 21:15:00";5000;1;1;44
682749;5770;28454;"2018-02-10 14:15:00";3000;1;1;49
682754;5766;28481;"2018-01-29 17:15:00";3200;1;1;41
682758;5769;28508;"2018-02-27 15:00:00";3200;1;1;43
682762;5765;28520;"2018-02-20 08:15:00";4000;1;1;41
682766;5772;28501;"2018-02-22 03:30:00";3200;0;;
